trans_date,beg_balance,daily_net_change,ending_balance_with_opening
2026-03-02,,13770.89,
2026-03-03,,36257.46,
2026-03-04,,-34729.25,
2026-03-05,,0,
2026-03-06,,-71867.28999999998,
2026-03-09,,70981.29000000001,
2026-03-10,,31894.890000000014,
2026-03-11,,-30963.89,
2026-03-12,,0,
2026-03-13,,-50953.35999999999,
2026-03-16,,2608.64,
2026-03-17,,77110.55999999997,
2026-03-18,,-30912.489999999994,
2026-03-19,,0,
2026-03-20,,-17301.420000000006,
2026-03-23,,17301.41999999999,
2026-03-24,,30865.72,
2026-03-25,,-29710.569999999967,
2026-03-26,,0,
2026-03-27,,-35966.130000000005,
2026-03-30,,35122.130000000005,
2026-03-31,,21272.99,
