trans_date,transaction_count,daily_change,running_balance_from_month_start
2026-02-01,1,-19.13,-19.13
2026-02-02,4,-5351.98,-5371.11
2026-02-03,7,-104542.65,-109913.76
2026-02-04,7,-52884.299999999996,-162798.06
2026-02-05,2,-25474.63,-188272.69
2026-02-06,30,25643.60000000001,-162629.09
2026-02-07,1,-148.42,-162777.51
2026-02-09,8,-21073.159999999996,-183850.67
2026-02-10,5,10771.42,-173079.25
2026-02-11,6,-2134.85,-175214.1
2026-02-12,7,-56818.5,-232032.6
2026-02-13,18,87550.63,-144481.97
2026-02-14,1,-135.16,-144617.13
2026-02-15,1,-1325,-145942.13
2026-02-16,5,-53678.649999999994,-199620.78
2026-02-17,11,-178167.47000000003,-377788.25
2026-02-18,7,-3865.19,-381653.44
2026-02-19,3,-1216.57,-382870.01
2026-02-20,20,-8394.54000000002,-391264.55000000005
2026-02-21,2,-1435.65,-392700.20000000007
2026-02-22,1,-720,-393420.20000000007
2026-02-23,8,17525.74,-375894.4600000001
2026-02-24,15,108934.45,-266960.01000000007
2026-02-25,5,-661.79,-267621.80000000005
2026-02-26,4,-120167.09,-387788.89
2026-02-27,32,63967.77000000005,-323821.12
2026-02-28,3,-8736.19,-332557.31
