company_id,month,source_program,log_created_at,account_id,row_month,raw_date,control_year,control_period,drcr,amount,dom_amount,debit_amount,credit_amount,balance,end_balance,ytd_balance,record_keys
cmmnwyofv000fqhp4z8lebbny,2026-03,GLACCTPERIODBALANCES,2026-04-01T16:18:40.807Z,10150,2026-03,20260306 14:23:31.833,,,,,-30.00000000,,,,,,Ref|Acct|Site|_ItemId|TransNum|DomAmount|ForAmount|TransDate|RecordDate
cmmnwyofv000fqhp4z8lebbny,2026-03,GLACCTPERIODBALANCES,2026-04-01T16:18:40.807Z,10150,2026-03,20260306 14:23:31.833,,,,,-125.84000000,,,,,,Ref|Acct|Site|_ItemId|TransNum|DomAmount|ForAmount|TransDate|RecordDate
cmmnwyofv000fqhp4z8lebbny,2026-03,GLACCTPERIODBALANCES,2026-04-01T16:18:40.807Z,10150,2026-03,20260306 14:23:31.833,,,,,45872.84000000,,,,,,Ref|Acct|Site|_ItemId|TransNum|DomAmount|ForAmount|TransDate|RecordDate
cmmnwyofv000fqhp4z8lebbny,2026-03,GLACCTPERIODBALANCES,2026-04-01T16:18:40.807Z,10150,2026-03,20260304 17:07:16.717,,,,,2300.00000000,,,,,,Ref|Acct|Site|_ItemId|TransNum|DomAmount|ForAmount|TransDate|RecordDate
cmmnwyofv000fqhp4z8lebbny,2026-03,GLACCTPERIODBALANCES,2026-04-01T16:18:40.807Z,10150,2026-03,20260304 17:07:16.247,,,,,-47000.00000000,,,,,,Ref|Acct|Site|_ItemId|TransNum|DomAmount|ForAmount|TransDate|RecordDate
cmmnwyofv000fqhp4z8lebbny,2026-03,GLACCTPERIODBALANCES,2026-04-01T16:18:40.807Z,10150,2026-03,20260302 15:44:56.030,,,,,-25780.63000000,,,,,,Ref|Acct|Site|_ItemId|TransNum|DomAmount|ForAmount|TransDate|RecordDate
cmmnwyofv000fqhp4z8lebbny,2026-03,GLACCTPERIODBALANCES,2026-04-01T16:18:40.807Z,10150,2026-03,20260302 15:44:56.030,,,,,-9965.62000000,,,,,,Ref|Acct|Site|_ItemId|TransNum|DomAmount|ForAmount|TransDate|RecordDate
cmmnwyofv000fqhp4z8lebbny,2026-03,GLACCTPERIODBALANCES,2026-04-01T16:40:32.342Z,10150,2026-03,20260306 14:23:31.833,,,,,-30.00000000,,,,,,Ref|Acct|Site|_ItemId|TransNum|DomAmount|ForAmount|TransDate|RecordDate
cmmnwyofv000fqhp4z8lebbny,2026-03,GLACCTPERIODBALANCES,2026-04-01T16:40:32.342Z,10150,2026-03,20260306 14:23:31.833,,,,,-125.84000000,,,,,,Ref|Acct|Site|_ItemId|TransNum|DomAmount|ForAmount|TransDate|RecordDate
cmmnwyofv000fqhp4z8lebbny,2026-03,GLACCTPERIODBALANCES,2026-04-01T16:40:32.342Z,10150,2026-03,20260306 14:23:31.833,,,,,45872.84000000,,,,,,Ref|Acct|Site|_ItemId|TransNum|DomAmount|ForAmount|TransDate|RecordDate
cmmnwyofv000fqhp4z8lebbny,2026-03,GLACCTPERIODBALANCES,2026-04-01T16:40:32.342Z,10150,2026-03,20260304 17:07:16.717,,,,,2300.00000000,,,,,,Ref|Acct|Site|_ItemId|TransNum|DomAmount|ForAmount|TransDate|RecordDate
cmmnwyofv000fqhp4z8lebbny,2026-03,GLACCTPERIODBALANCES,2026-04-01T16:40:32.342Z,10150,2026-03,20260304 17:07:16.247,,,,,-47000.00000000,,,,,,Ref|Acct|Site|_ItemId|TransNum|DomAmount|ForAmount|TransDate|RecordDate
cmmnwyofv000fqhp4z8lebbny,2026-03,GLACCTPERIODBALANCES,2026-04-01T16:40:32.342Z,10150,2026-03,20260302 15:44:56.030,,,,,-25780.63000000,,,,,,Ref|Acct|Site|_ItemId|TransNum|DomAmount|ForAmount|TransDate|RecordDate
cmmnwyofv000fqhp4z8lebbny,2026-03,GLACCTPERIODBALANCES,2026-04-01T16:40:32.342Z,10150,2026-03,20260302 15:44:56.030,,,,,-9965.62000000,,,,,,Ref|Acct|Site|_ItemId|TransNum|DomAmount|ForAmount|TransDate|RecordDate
cmmnwyofv000fqhp4z8lebbny,2026-03,GLACCTPERIODBALANCES,2026-04-01T18:14:56.880Z,10150,2026-03,20260306 14:23:31.833,,,,,-30.00000000,,,,,,Ref|Acct|Site|_ItemId|TransNum|DomAmount|ForAmount|TransDate|RecordDate
cmmnwyofv000fqhp4z8lebbny,2026-03,GLACCTPERIODBALANCES,2026-04-01T18:14:56.880Z,10150,2026-03,20260306 14:23:31.833,,,,,-125.84000000,,,,,,Ref|Acct|Site|_ItemId|TransNum|DomAmount|ForAmount|TransDate|RecordDate
cmmnwyofv000fqhp4z8lebbny,2026-03,GLACCTPERIODBALANCES,2026-04-01T18:14:56.880Z,10150,2026-03,20260306 14:23:31.833,,,,,45872.84000000,,,,,,Ref|Acct|Site|_ItemId|TransNum|DomAmount|ForAmount|TransDate|RecordDate
