trans_date,beg_balance,daily_net_change,ending_balance_with_opening
2026-02-01,,-19.13,
2026-02-02,,-5351.98,
2026-02-03,,-104542.65,
2026-02-04,,-52884.299999999996,
2026-02-05,,-25474.63,
2026-02-06,,25643.60000000001,
2026-02-07,,-148.42,
2026-02-09,,-21073.159999999996,
2026-02-10,,10771.42,
2026-02-11,,-2134.85,
2026-02-12,,-56818.5,
2026-02-13,,87550.63,
2026-02-14,,-135.16,
2026-02-15,,-1325,
2026-02-16,,-53678.649999999994,
2026-02-17,,-178167.47000000003,
2026-02-18,,-3865.19,
2026-02-19,,-1216.57,
2026-02-20,,-8394.54000000002,
2026-02-21,,-1435.65,
2026-02-22,,-720,
2026-02-23,,17525.74,
2026-02-24,,108934.45,
2026-02-25,,-661.79,
2026-02-26,,-120167.09,
2026-02-27,,63967.77000000005,
2026-02-28,,-8736.19,
