trans_date,transaction_count,daily_change,running_balance_from_month_start
2026-03-02,5,13770.89,13770.89
2026-03-03,7,36257.46,50028.35
2026-03-04,7,-34729.25,15299.099999999999
2026-03-05,10,0,15299.099999999999
2026-03-06,15,-71867.28999999998,-56568.18999999998
2026-03-09,4,70981.29000000001,14413.100000000028
2026-03-10,15,31894.890000000014,46307.99000000004
2026-03-11,9,-30963.89,15344.100000000042
2026-03-12,2,0,15344.100000000042
2026-03-13,15,-50953.35999999999,-35609.25999999995
2026-03-16,2,2608.64,-33000.61999999995
2026-03-17,7,77110.55999999997,44109.94000000002
2026-03-18,8,-30912.489999999994,13197.450000000023
2026-03-19,5,0,13197.450000000023
2026-03-20,20,-17301.420000000006,-4103.969999999983
2026-03-23,8,17301.41999999999,13197.450000000008
2026-03-24,7,30865.72,44063.17000000001
2026-03-25,7,-29710.569999999967,14352.600000000046
2026-03-26,7,0,14352.600000000046
2026-03-27,17,-35966.130000000005,-21613.52999999996
2026-03-30,8,35122.130000000005,13508.600000000046
2026-03-31,5,21272.99,34781.59000000005
